"","Rank0","Kingdom","Phylum","Class","Order","Family","Genus","OTU"
"Otu000103","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000103"
"Otu000253","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__20","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__20::Otu000253"
"Otu000068","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000068"
"Otu000340","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000340"
"Otu000592","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__21","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__21::Otu000592"
"Otu000024","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Incertae_Sedis::Otu000024"
"Otu000175","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__22","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__22::Otu000175"
"Otu000063","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__23","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__23::Otu000063"
"Otu000518","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__24","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::g__24::Otu000518"
"Otu000309","Life","Life::Bacteria","Life::Bacteria::Firmicutes","Life::Bacteria::Firmicutes::Clostridia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Blautia","Life::Bacteria::Firmicutes::Clostridia::Clostridiales::Lachnospiraceae::Blautia::Otu000309"
